Recipient Type,Recipient Currently in Office?,Recipient Title,Recipient Name,Recipient District,Recipient Party,"Total Police $ Rec'd, 2016-2020",Recipient Email,Recipient Twitter Handle,Response,Money Reclaimed,MN Police & Peace Officers Assoc Leg Fund,MN Police Fraternal Association,Police Officers Alliance of MN Pol Action Fund,Police Officers Fed of Mpls,Police Officers Fed of Mpls Contingency Fund,St Paul Police Federation Political Awareness Fund,St Paul Police Federation Political Awareness Fund
Political Campaign Cmte (PCC),Current,MN Senate Member,Jeff Howe,13,R,$250,sen.jeff.howe@senate.mn,@JeffHoweMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Jeremy R. Miller,28,R,$250,sen.jeremy.miller@senate.mn,@jeremyrmiller,,,,,,250,,,
Political Campaign Cmte (PCC),Current,MN Senate Member,Jerry Newton,37,D,$550,sen.jerry.newton@senate.mn,@VoteJerryNewton,,,,,,,,550,
Political Campaign Cmte (PCC),Current,MN Senate Member,Jim Abeler,35,R,$550,sen.jim.abeler@senate.mn,@jimabeler,,,,,,,,550,
Political Campaign Cmte (PCC),Current,MN Senate Member,John A. Hoffman,36,D,$550,sd36iq@mnsenate.lmhostediq.com,@JohnHoffmanMN,,,,,,,,550,
Political Campaign Cmte (PCC),Current,MN Senate Member,John R. Jasinski,24,R,$250,sd24iq@mnsenate.lmhostediq.com,@SenatorJasinski,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Julie A. Rosen,23,R,$250,sen.julie.rosen@senate.mn,@JulieRosenMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Justin D. Eichorn,05,R,$250,sd05iq@mnsenate.lmhostediq.com,@SenatorEichorn,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Mary Kiffmeyer,30,R,$650,sd30iq@mnsenate.lmhostediq.com,@marykiff,,,,,,,,650,
Political Campaign Cmte (PCC),Current,MN Senate Member,Matt Little,58,D,"$1,000",sd58iq@mnsenate.lmhostediq.com,@LittleSenator,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN Senate Member,Michael P. Goggin,21,R,$250,sen.mike.goggin@senate.mn,@SenatorGoggin,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Michelle R. Benson,31,R,$250,sd31iq@mnsenate.lmhostediq.com,@SenatorBenson,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Nick A. Frentz,19,D,"$1,550",sen.nick.frentz@senate.mn,@NickAFrentz,,,,1250,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,Paul E. Gazelka,09,R,$250,sd09iq@mnsenate.lmhostediq.com,@paulgazelka,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Rich Draheim,20,R,$250,sd20iq@mnsenate.lmhostediq.com,@SenatorDraheim,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Roger C. Chamberlain,38,R,$250,sd38iq@mnsenate.lmhostediq.com,@rcchamberlain1,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Ron Latz,46,D,$500,sd46iq@mnsenate.lmhostediq.com,@SenRonLatz,,,,,500,,,,
Political Campaign Cmte (PCC),Current,MN Senate Member,Sandra L. Pappas,65,D,"$1,000",sd65iq@mnsenate.lmhostediq.com,@SenatorPappas,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN Senate Member,Scott J. Newman,18,R,$250,sen.scott.newman@senate.mn,@SenatorNewmanMN,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Susan Kent,53,D,"$1,000",sd53iq@mnsenate.lmhostediq.com,@SusanKentMN,,,,1000,,,,,
Political Campaign Cmte (PCC),Current,MN Senate Member,Thomas M. Bakk,03,D,$300,sd03iq@mnsenate.lmhostediq.com,@tombakk,,,,,,,,300,
Political Campaign Cmte (PCC),Current,MN Senate Member,Torrey N. Westrom,12,R,$250,sen.torrey.westrom@senate.mn,@SenWestrom,,,,,,,,250,
Political Campaign Cmte (PCC),Current,MN Senate Member,Warren Limmer,34,R,$250,sen.warren.limmer@senate.mn,@SenWarrenLimmer,,,,,,,,250,
Political Campaign Cmte (PCC),Current,Minnetonka City Council Candidate,Deborah Calvert,at large,D,"$1,000",,@DebCalvertMN,,,,1000,,,,,
Political Campaign Cmte (PCC),Other,"Candidate, Hennepin Co. Commissioner",Dario A. Anselmo,,R,"$1,000",,@DarioAnselmoMN,,,,1000,,,,,
Party Unit (PTU),Current,40th Senate District DFL,40th Senate District DFL,40,D,$250,,@sd40dfl,,,,,,,,250,
Party Unit (PTU),Current,44th Senate District DFL,44th Senate District DFL,44,D,$250,,@DFLSD44,,,,,,,,250,
Party Unit (PTU),Current,61st Senate District DFL,61st Senate District DFL,61,D,$250,,none,,,,,,,,250,
Party Unit (PTU),Current,DFL House Caucus,DFL House Caucus,State,D,"$19,250",,@mnhouseDFL,,,,,10000,,,9250,
Party Unit (PTU),Current,DFL Senate Caucus,DFL Senate Caucus,State,D,"$9,650",,@mnhouseDFL,,,,,2000,,3650,4000,
Party Unit (PTU),Current,MN HRCC,MN HRCC,State,R,"$9,000",,@mnhousegop,,,,,5000,,,4000,
Party Unit (PTU),Current,Senate Republican Caucus,Senate Victory Fund (SVF) ,State,R,"$23,000",info@mnsrc.org,@MNSenateVictory,,,,,15000,,,8000,
Political Campaign Cmte (PCC),Former,MN Attorney General,Lori Swanson,,D,"$7,000",,@LoriSwansonMN,,,,4000,2000,,,500,500
Political Campaign Cmte (PCC),Former,MN House Member,Anna Wills,,R,$350,,@annacwills,,,,,,,,350,
Political Campaign Cmte (PCC),Former,MN House Member,Debra Hilstrom,40B,D,"$2,750",,@debrahilstrom,,,,2500,,,,250,
Political Campaign Cmte (PCC),Former,MN House Member,JoAnn Ward,,D,"$1,000",,@JoAnnWardMN,,,,1000,,,,,
Political Campaign Cmte (PCC),Former,MN House Member,Linda J. Slocum,,D,$250,,@RepLindaSlocum,,,,,,,,250,
Political Campaign Cmte (PCC),Former,MN House Member,Patti Fritz,,D,"$1,000",,none,,,,1000,,,,,
Political Campaign Cmte (PCC),Former,MN House Member,Paul Rosenthal,,D,"$1,250",,@PaulRosenthalMN,,,,1000,,,,250,
Political Campaign Cmte (PCC),Former,MN House Member,Randy Jessup,,R,"$1,000",,@RandyJessup,,,,1000,,,,,
Political Campaign Cmte (PCC),Former,MN House Member,Tom Anzelc,,D,"$1,000",,none,,,,1000,,,,,
Political Campaign Cmte (PCC),Former,MN Senate Member,Carrie Ruud,,R,$250,sen.carrie.ruud@senate.mn,@CarrieRuud,,,,,,,,250,
Political Campaign Cmte (PCC),Former,MN Senate Member,Dan Schoen,,D,$250,,none,,,,,,,,250,
Political Campaign Cmte (PCC),Former,MN Senate Member,Kevin Dahle,,D,"$1,000",,@KevinDahle,,,,1000,,,,,
Political Campaign Cmte (PCC),Lost Election,,Jeff Peterson,,D,"$1,000",,none,,,,1000,,,,,
Political Campaign Cmte (PCC),Lost Election,,Kip Fontaine,,D,"$1,000",,@kip_fontaine,,,,1000,,,,,
Political Campaign Cmte (PCC),Lost Election,,Lisa Bayley,,D,"$1,000",,none,,,,1000,,,,,
Political Campaign Cmte (PCC),Lost Election,,Pat Medure,,D,"$1,500",,@MedurePat,,,,1000,,,,500,
Political Campaign Cmte (PCC),Lost Election,,Yvette Marthaler,,D,"$1,000",,@MarthalerFor24B,,,,1000,,,,,
